"durationdo"
0
9.75
10.5
20.25
30
39.75
40.5
50.25
60
69.75
70.5
80.25
90
99.75
100.5
110.25
120
129.75
130.5
140.25
150
159.75
160.5
170.25
180
182.25
183
183.75
184.5
185.25
186
186.75
187.5
188.25
189
189.75
190.5
191.25
192
192.75
193.5
194.25
195
195.75
196.5
197.25
198
198.75
199.5
200.25
201
201.75
202.5
203.25
204
204.75
205.5
206.25
207
207.75
208.5
209.25
210
210.75
211.5
212.25
213
213.75
214.5
215.25
216
216.75
217.5
218.25
219
219.75
220.5
221.25
222
222.75
223.5
224.25
225
225.75
226.5
227.25
228
228.75
229.5
230.25
231
231.75
232.5
233.25
234
234.75
235.5
236.25
237
237.75
238.5
239.25
240
240.75
241.5
242.25
243
243.75
244.5
245.25
246
246.75
247.5
248.25
249
249.75
250.5
251.25
252
252.75
253.5
254.25
255
255.75
256.5
257.25
258
258.75
259.5
260.25
261
261.75
262.5
263.25
264
264.75
265.5
266.25
267
267.75
268.5
269.25
270
270.75
271.5
272.25
273
273.75
274.5
275.25
276
276.75
277.5
278.25
279
279.75
280.5
281.25
282
282.75
283.5
284.25
285
285.75
286.5
287.25
288
288.75
289.5
290.25
291
291.75
292.5
293.25
294
294.75
295.5
296.25
297
297.75
298.5
299.25
300
300.75
301.5
311.25
321
330.75
341.25
351
360.75
370.516666666667
371.266666666667
381.016666666667
390.766666666667
400.516666666667
401.266666666667
411.016666666667
420.766666666667
430.516666666667
431.266666666667
441.016666666667
450.766666666667
460.516666666667
461.266666666667
471.016666666667
480.766666666667
